iter	RMSE
0	0.3717734432
1	0.3525485912
2	0.3340424867
3	0.3172446935
4	0.2996783411
5	0.2842224142
6	0.2693717682
7	0.2559175267
8	0.2425261299
9	0.229867722
10	0.2185961078
11	0.2082314342
12	0.1985293233
13	0.1886780918
14	0.1787265873
15	0.1705154004
16	0.1630471231
17	0.1552315908
18	0.1478999062
19	0.1407631672
20	0.1344453834
21	0.1286537571
22	0.1226978749
23	0.1176216133
24	0.1121861086
25	0.1075986708
26	0.1030158114
27	0.09820996018
28	0.0945194652
29	0.09035582245
30	0.0864104641
31	0.08298339555
32	0.08006744224
33	0.07658312319
34	0.07374184901
35	0.07047066523
36	0.06766327876
37	0.06529762968
38	0.06245108222
39	0.06010686888
40	0.05817702548
41	0.05621836928
42	0.05417627962
43	0.05202050718
44	0.05003969908
45	0.04785838102
46	0.04598505875
47	0.04409877028
48	0.04260796056
49	0.04088743324
50	0.03928248602
51	0.03778328052
52	0.03629019166
53	0.03496486412
54	0.03388409559
55	0.03252602155
56	0.03124049445
57	0.03013154886
58	0.02899483764
59	0.02805880807
60	0.02693313244
61	0.02571014377
62	0.02471760399
63	0.02371630616
64	0.0227954783
65	0.02188980279
66	0.02106842019
67	0.0203248303
68	0.019523598
69	0.01885987706
70	0.0182277691
71	0.01762191907
72	0.01692512391
73	0.01623637276
74	0.01557392576
75	0.01505212313
76	0.0144023459
77	0.01392887806
78	0.01334706376
79	0.01282062273
80	0.01244142114
81	0.01193349637
82	0.01149367635
83	0.01115167527
84	0.01069030419
85	0.01032112107
86	0.009931224742
87	0.009575496011
88	0.009279333799
89	0.00896448035
90	0.008678833647
91	0.008389785227
92	0.008117129672
93	0.007837866256
94	0.007636702352
95	0.007382595043
96	0.007118147115
97	0.006872305182
98	0.006612152585
99	0.00641588131
100	0.006193534979
101	0.005960620131
102	0.005758036102
103	0.005618918693
104	0.005396154523
105	0.005231683714
106	0.005068165888
107	0.004950493105
108	0.004814228174
109	0.004622857809
110	0.004490164095
111	0.004389133564
112	0.00427221579
113	0.004130408054
114	0.004047594297
115	0.003956125731
116	0.003867478771
117	0.003793028366
118	0.003695354137
119	0.003628630736
120	0.003573112914
121	0.003469516498
122	0.003421721017
123	0.003288113242
124	0.003171464632
125	0.003119186838
126	0.00303578979
127	0.00291762544
128	0.002793795894
129	0.002695853807
130	0.002665843867
131	0.002578572115
132	0.002566966882
133	0.002492631602
134	0.002422649018
135	0.002375186933
136	0.002363238998
137	0.002296456387
138	0.002235983898
139	0.002178361736
140	0.002117496153
141	0.002048947177
142	0.002018318082
143	0.001953831342
144	0.001894574797
145	0.001824199944
146	0.001748836277
147	0.001713828531
148	0.001676608515
149	0.001655293396
150	0.001583693702
151	0.001546167278
152	0.001498113494
153	0.001451639347
154	0.001407703688
155	0.001359021997
156	0.001335316306
157	0.001289186031
158	0.001262510928
159	0.001213674999
160	0.001157451782
161	0.001113669913
162	0.001097713725
163	0.001054134927
164	0.001028113845
165	0.0009841955483
166	0.0009451229467
167	0.0009042238596
168	0.0008717819646
169	0.0008414285657
