iter	Passed	Remaining
0	8	8985
1	13	6831
2	20	6720
3	25	6341
4	31	6176
5	35	5958
6	40	5735
7	45	5628
8	50	5578
9	54	5438
10	58	5288
11	63	5209
12	67	5115
13	71	5046
14	75	4961
15	79	4873
16	83	4824
17	87	4757
18	90	4695
19	94	4648
20	98	4611
21	103	4579
22	106	4538
23	110	4502
24	114	4480
25	118	4447
26	122	4420
27	126	4387
28	130	4356
29	137	4452
30	142	4439
31	145	4413
32	151	4449
33	155	4427
34	159	4404
35	164	4400
36	168	4381
37	172	4359
38	176	4339
39	180	4325
40	184	4304
41	188	4296
42	192	4277
43	196	4269
44	200	4251
45	204	4231
46	208	4218
47	212	4209
48	216	4194
49	220	4180
50	223	4164
51	227	4149
52	231	4138
53	235	4125
54	239	4111
55	243	4097
56	246	4085
57	251	4078
58	254	4064
59	258	4051
60	262	4041
61	266	4029
62	270	4018
63	273	4006
64	277	3997
65	281	3988
66	285	3977
67	289	3968
68	294	3969
69	298	3972
70	303	3969
71	307	3960
72	311	3951
73	315	3944
74	318	3933
75	322	3922
76	326	3915
77	330	3904
78	334	3895
79	338	3887
80	341	3880
81	346	3874
82	350	3867
83	353	3857
84	357	3850
85	361	3841
86	365	3835
87	369	3827
88	373	3818
89	377	3812
90	380	3803
91	384	3797
92	388	3789
93	392	3782
94	396	3777
95	400	3769
96	404	3762
97	408	3755
98	411	3748
99	415	3742
100	419	3737
101	423	3731
102	427	3724
103	431	3720
104	435	3714
105	439	3708
106	443	3702
107	447	3694
108	451	3687
109	455	3686
110	459	3684
111	464	3680
112	468	3678
113	472	3674
114	476	3670
115	480	3663
116	485	3662
117	489	3659
118	493	3654
119	497	3648
120	501	3646
121	506	3644
122	510	3638
123	515	3643
124	519	3637
125	523	3634
126	527	3628
127	532	3625
128	536	3620
129	540	3616
130	544	3612
131	548	3608
132	554	3611
133	558	3612
134	563	3613
135	569	3616
136	574	3620
137	580	3623
138	585	3625
139	590	3625
140	595	3628
141	600	3628
142	606	3636
143	612	3639
144	616	3636
145	621	3637
146	626	3634
147	630	3629
148	635	3631
149	640	3632
150	646	3632
151	654	3649
152	658	3644
153	662	3639
154	667	3638
155	672	3636
156	676	3631
157	680	3626
158	684	3622
159	689	3617
160	693	3613
161	699	3617
162	704	3618
163	710	3620
164	715	3621
165	720	3617
166	724	3612
167	728	3606
168	732	3602
169	736	3595
170	740	3591
171	744	3584
172	749	3582
173	753	3576
174	757	3571
175	761	3565
176	766	3561
177	769	3555
178	774	3551
179	778	3545
180	782	3540
181	786	3536
182	790	3530
183	795	3526
184	799	3520
185	803	3516
186	807	3509
187	811	3505
188	815	3498
189	819	3494
190	823	3489
191	828	3484
192	832	3479
193	836	3474
194	840	3468
195	844	3464
196	848	3459
197	852	3453
198	856	3449
199	861	3445
200	865	3440
201	869	3435
202	873	3431
203	878	3426
204	882	3422
205	886	3416
206	890	3412
207	895	3408
208	899	3402
209	903	3398
210	907	3393
